date,location,name,basket,total,payment_type,card_number
26/11/2023 09:10,Longridge,Edmund Strohmeyer,Regular Speciality Tea - Earl Grey - 1.30,1.3,CARD,6878999346424503
26/11/2023 09:11,Longridge,Billi Rossignol,"Large Flavoured iced latte - Caramel - 3.25, Large Mocha - 2.70, Large Speciality Tea - Earl Grey - 1.60, Large Smoothies - Glowing Greens - 2.50, Large Frappes - Strawberries & Cream - 3.25, Large Flavoured iced latte - Caramel - 3.25",16.55,CARD,7159276698483346
26/11/2023 09:13,Longridge,Rashad Findlay,Large Smoothies - Glowing Greens - 2.50,2.5,CASH,
26/11/2023 09:14,Longridge,Brandon Brewer,"Large Smoothies - Glowing Greens - 2.50, Large Frappes - Strawberries & Cream - 3.25",5.75,CASH,
26/11/2023 09:15,Longridge,Mike Walden,"Large Mocha - 2.70, Regular Glass of milk - 0.70, Large Smoothies - Glowing Greens - 2.50",5.9,CARD,7981410124228969
26/11/2023 09:16,Longridge,Ethel Cummings,"Regular Flavoured iced latte - Caramel - 2.75, Large Mocha - 2.70, Regular Speciality Tea - Earl Grey - 1.30",6.75,CARD,7713840273790350
26/11/2023 09:17,Longridge,Dorothy Riley,"Large Flavoured iced latte - Caramel - 3.25, Large Mocha - 2.70",5.95,CARD,6750088683355869
26/11/2023 09:18,Longridge,April Keri,Large Flavoured iced latte - Caramel - 3.25,3.25,CARD,1735063521184941
26/11/2023 09:19,Longridge,Shannon Delong,"Regular Mocha - 2.30, Large Frappes - Strawberries & Cream - 3.25, Regular Flavoured iced latte - Caramel - 2.75, Regular Mocha - 2.30, Regular Smoothies - Glowing Greens - 2.00",12.6,CARD,1962947616028459
26/11/2023 09:20,Longridge,Dorothy Walser,Regular Mocha - 2.30,2.3,CASH,
26/11/2023 09:21,Longridge,Patricia Allen,"Large Speciality Tea - Earl Grey - 1.60, Large Smoothies - Glowing Greens - 2.50, Large Smoothies - Glowing Greens - 2.50, Regular Smoothies - Glowing Greens - 2.00, Large Speciality Tea - Earl Grey - 1.60",10.2,CARD,4474650959091904
26/11/2023 09:22,Longridge,Richard Everett,"Large Speciality Tea - Earl Grey - 1.60, Regular Smoothies - Glowing Greens - 2.00",3.6,CASH,
26/11/2023 09:23,Longridge,Rena Bowland,"Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured iced latte - Caramel - 2.75, Regular Glass of milk - 0.70",6.7,CARD,5800327643387480
26/11/2023 09:24,Longridge,Marvel Pickett,"Large Flavoured iced latte - Caramel - 3.25, Large Smoothies - Glowing Greens - 2.50, Large Speciality Tea - Earl Grey - 1.60, Regular Frappes - Strawberries & Cream - 2.75, Large Mocha - 2.70",12.8,CARD,8369448235311117
26/11/2023 09:26,Longridge,Stephen Dodd,"Large Speciality Tea - Earl Grey - 1.60, Large Flavoured iced latte - Caramel - 3.25, Large Smoothies - Glowing Greens - 2.50, Regular Frappes - Strawberries & Cream - 2.75, Regular Smoothies - Glowing Greens - 2.00",12.1,CARD,4278211845030285
26/11/2023 09:27,Longridge,Hazel Spencer,"Regular Smoothies - Glowing Greens - 2.00, Large Frappes - Strawberries & Cream - 3.25, Regular Mocha - 2.30, Regular Speciality Tea - Earl Grey - 1.30",8.85,CASH,
26/11/2023 09:28,Longridge,Eileen Kruse,"Regular Mocha - 2.30, Large Frappes - Strawberries & Cream - 3.25",5.55,CASH,
26/11/2023 09:29,Longridge,Jessica Rahe,"Regular Glass of milk - 0.70, Large Frappes - Strawberries & Cream - 3.25, Large Smoothies - Glowing Greens - 2.50, Large Smoothies - Glowing Greens - 2.50, Regular Mocha - 2.30",11.25,CARD,8898385817421429
26/11/2023 09:30,Longridge,Arthur Rowe,"Regular Mocha - 2.30, Large Mocha - 2.70",5,CARD,3687995951082646
26/11/2023 09:31,Longridge,Irene Zavala,Large Speciality Tea - Earl Grey - 1.60,1.6,CASH,
26/11/2023 09:32,Longridge,Frederick Myers,"Large Mocha - 2.70, Large Glass of milk - 1.10, Regular Smoothies - Glowing Greens - 2.00, Large Flavoured iced latte - Caramel - 3.25",9.05,CARD,1234444487785782
26/11/2023 09:33,Longridge,Jerry Parsons,"Regular Flavoured iced latte - Caramel - 2.75, Large Speciality Tea - Earl Grey - 1.60, Large Speciality Tea - Earl Grey - 1.60, Large Frappes - Strawberries & Cream - 3.25",9.2,CARD,2130337608801330
26/11/2023 09:34,Longridge,Keith Flynn,"Regular Speciality Tea - Earl Grey - 1.30, Large Smoothies - Glowing Greens - 2.50",3.8,CARD,5844040947495916
26/11/2023 09:35,Longridge,Robert Hernandez,"Large Glass of milk - 1.10, Large Smoothies - Glowing Greens - 2.50, Regular Smoothies - Glowing Greens - 2.00, Regular Speciality Tea - Earl Grey - 1.30",6.9,CARD,3100730729026712
26/11/2023 09:36,Longridge,Shawn Frizzle,"Large Mocha - 2.70, Regular Frappes - Strawberries & Cream - 2.75, Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured iced latte - Caramel - 3.25, Large Mocha - 2.70",14.15,CASH,
26/11/2023 09:37,Longridge,Brian Almaguer,"Regular Mocha - 2.30, Large Frappes - Strawberries & Cream - 3.25, Regular Mocha - 2.30, Regular Glass of milk - 0.70",8.55,CASH,
26/11/2023 09:39,Longridge,Enrique Cathey,"Large Mocha - 2.70, Large Flavoured iced latte - Caramel - 3.25, Regular Mocha - 2.30",8.25,CARD,2036120941772875
26/11/2023 09:40,Longridge,Charles Kelly,"Large Smoothies - Glowing Greens - 2.50, Regular Glass of milk - 0.70, Large Flavoured iced latte - Caramel - 3.25",6.45,CARD,9205861630981556
26/11/2023 09:41,Longridge,Catrina Torres,"Large Mocha - 2.70, Large Frappes - Strawberries & Cream - 3.25",5.95,CASH,
26/11/2023 09:42,Longridge,Valerie Martinez,"Large Mocha - 2.70, Large Glass of milk - 1.10, Regular Frappes - Strawberries & Cream - 2.75, Large Smoothies - Glowing Greens - 2.50",9.05,CARD,1629192287153889
26/11/2023 09:43,Longridge,Carolyn Kirchner,Regular Flavoured iced latte - Caramel - 2.75,2.75,CARD,9705523529895459
26/11/2023 09:44,Longridge,Tanya Raab,"Large Flavoured iced latte - Caramel - 3.25, Large Flavoured iced latte - Caramel - 3.25, Large Smoothies - Glowing Greens - 2.50, Large Frappes - Strawberries & Cream - 3.25, Regular Glass of milk - 0.70, Large Speciality Tea - Earl Grey - 1.60",14.55,CARD,7554580860934292
26/11/2023 09:45,Longridge,Zachary White,Large Smoothies - Glowing Greens - 2.50,2.5,CASH,
26/11/2023 09:46,Longridge,Joseph Liu,"Regular Smoothies - Glowing Greens - 2.00, Regular Smoothies - Glowing Greens - 2.00, Regular Flavoured iced latte - Caramel - 2.75, Regular Mocha - 2.30, Large Speciality Tea - Earl Grey - 1.60, Large Speciality Tea - Earl Grey - 1.60",12.25,CASH,
26/11/2023 09:47,Longridge,Araceli Crespo,"Regular Speciality Tea - Earl Grey - 1.30, Regular Smoothies - Glowing Greens - 2.00, Large Smoothies - Glowing Greens - 2.50, Regular Smoothies - Glowing Greens - 2.00, Large Frappes - Strawberries & Cream - 3.25, Regular Mocha - 2.30",13.35,CARD,7078476946344165
26/11/2023 09:48,Longridge,John Jefferson,Regular Speciality Tea - Earl Grey - 1.30,1.3,CARD,7358844425683709
26/11/2023 09:49,Longridge,Ronald Simeon,Large Frappes - Strawberries & Cream - 3.25,3.25,CARD,6420715632010431
26/11/2023 09:50,Longridge,Cassandra Sarnicola,"Large Frappes - Strawberries & Cream - 3.25, Large Frappes - Strawberries & Cream - 3.25",6.5,CARD,6453842967858449
26/11/2023 09:52,Longridge,Elizabeth Tabor,"Large Mocha - 2.70, Regular Frappes - Strawberries & Cream - 2.75, Regular Glass of milk - 0.70, Large Frappes - Strawberries & Cream - 3.25, Regular Flavoured iced latte - Caramel - 2.75",12.15,CARD,4918704068026741
26/11/2023 09:53,Longridge,Donna Orellana,"Large Smoothies - Glowing Greens - 2.50, Large Smoothies - Glowing Greens - 2.50, Large Frappes - Strawberries & Cream - 3.25",8.25,CARD,7195494664405547
26/11/2023 09:54,Longridge,Daisy Hall,Large Flavoured iced latte - Caramel - 3.25,3.25,CARD,8835605503400049
26/11/2023 09:55,Longridge,Consuelo Cornish,"Regular Frappes - Strawberries & Cream - 2.75, Regular Flavoured iced latte - Caramel - 2.75, Large Smoothies - Glowing Greens - 2.50, Large Frappes - Strawberries & Cream - 3.25",11.25,CARD,2452392996397238
26/11/2023 09:56,Longridge,Jon Sabella,"Regular Smoothies - Glowing Greens - 2.00, Regular Glass of milk - 0.70",2.7,CASH,
26/11/2023 09:57,Longridge,Robert Kidwell,"Large Frappes - Strawberries & Cream - 3.25, Regular Flavoured iced latte - Caramel - 2.75, Regular Speciality Tea - Earl Grey - 1.30",7.3,CARD,6447866419957622
26/11/2023 09:58,Longridge,David Van,"Large Speciality Tea - Earl Grey - 1.60, Large Frappes - Strawberries & Cream - 3.25, Large Smoothies - Glowing Greens - 2.50, Large Flavoured iced latte - Caramel - 3.25, Large Mocha - 2.70, Regular Flavoured iced latte - Caramel - 2.75",16.05,CASH,
26/11/2023 09:59,Longridge,Betty Howe,"Regular Frappes - Strawberries & Cream - 2.75, Regular Frappes - Strawberries & Cream - 2.75",5.5,CASH,
26/11/2023 10:00,Longridge,Max Gillon,"Regular Smoothies - Glowing Greens - 2.00, Regular Mocha - 2.30, Large Glass of milk - 1.10, Regular Mocha - 2.30",7.7,CASH,
26/11/2023 10:03,Longridge,Angelo Ferguson,"Regular Glass of milk - 0.70, Large Smoothies - Glowing Greens - 2.50",3.2,CARD,4226638346946630
26/11/2023 10:06,Longridge,Joseph Dean,Large Smoothies - Glowing Greens - 2.50,2.5,CASH,
26/11/2023 10:10,Longridge,Charles Morales,"Regular Glass of milk - 0.70, Regular Flavoured iced latte - Caramel - 2.75, Regular Glass of milk - 0.70, Regular Speciality Tea - Earl Grey - 1.30, Large Frappes - Strawberries & Cream - 3.25",8.7,CARD,8943981705213067
26/11/2023 10:13,Longridge,Amanda Bates,"Regular Smoothies - Glowing Greens - 2.00, Regular Glass of milk - 0.70",2.7,CARD,2687508099624524
26/11/2023 10:16,Longridge,Janice Sherlock,"Regular Glass of milk - 0.70, Regular Frappes - Strawberries & Cream - 2.75, Regular Frappes - Strawberries & Cream - 2.75, Large Mocha - 2.70",8.9,CARD,1380393885369579
26/11/2023 10:19,Longridge,Ruby Dorman,"Large Mocha - 2.70, Regular Smoothies - Glowing Greens - 2.00, Large Glass of milk - 1.10, Large Speciality Tea - Earl Grey - 1.60, Large Glass of milk - 1.10",8.5,CASH,
26/11/2023 10:22,Longridge,Walter Howard,"Regular Frappes - Strawberries & Cream - 2.75, Large Speciality Tea - Earl Grey - 1.60, Large Speciality Tea - Earl Grey - 1.60, Large Frappes - Strawberries & Cream - 3.25, Regular Frappes - Strawberries & Cream - 2.75, Regular Glass of milk - 0.70",12.65,CARD,7981718599205973
26/11/2023 10:25,Longridge,Kim Neville,"Large Speciality Tea - Earl Grey - 1.60, Regular Speciality Tea - Earl Grey - 1.30, Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured iced latte - Caramel - 2.75, Large Frappes - Strawberries & Cream - 3.25",12.15,CARD,2636585350293331
26/11/2023 10:29,Longridge,Jeffery Forbis,"Regular Frappes - Strawberries & Cream - 2.75, Large Flavoured iced latte - Caramel - 3.25, Regular Speciality Tea - Earl Grey - 1.30, Large Smoothies - Glowing Greens - 2.50, Large Flavoured iced latte - Caramel - 3.25",13.05,CARD,8925250544277005
26/11/2023 10:32,Longridge,Marion Severson,Large Mocha - 2.70,2.7,CARD,2119517250305618
26/11/2023 10:35,Longridge,Barbara King,"Large Frappes - Strawberries & Cream - 3.25, Large Mocha - 2.70",5.95,CARD,8692415400817524
26/11/2023 10:38,Longridge,George Lomonaco,"Regular Frappes - Strawberries & Cream - 2.75, Regular Flavoured iced latte - Caramel - 2.75, Regular Flavoured iced latte - Caramel - 2.75, Regular Mocha - 2.30, Regular Speciality Tea - Earl Grey - 1.30",11.85,CARD,4148312084600934
26/11/2023 10:41,Longridge,Maria Buckley,"Large Mocha - 2.70, Large Frappes - Strawberries & Cream - 3.25",5.95,CASH,
26/11/2023 10:44,Longridge,David Goodman,Regular Smoothies - Glowing Greens - 2.00,2,CASH,
26/11/2023 10:47,Longridge,Carlos Miller,"Regular Smoothies - Glowing Greens - 2.00, Regular Mocha - 2.30, Large Smoothies - Glowing Greens - 2.50",6.8,CARD,5683370252392341
26/11/2023 10:51,Longridge,Marjorie Routson,"Regular Smoothies - Glowing Greens - 2.00, Large Glass of milk - 1.10, Regular Frappes - Strawberries & Cream - 2.75",5.85,CARD,5517697054346290
26/11/2023 10:54,Longridge,Mark Baxter,"Regular Speciality Tea - Earl Grey - 1.30, Large Flavoured iced latte - Caramel - 3.25, Regular Frappes - Strawberries & Cream - 2.75, Regular Frappes - Strawberries & Cream - 2.75, Large Smoothies - Glowing Greens - 2.50",12.55,CASH,
26/11/2023 10:57,Longridge,Evette Cooksey,"Large Flavoured iced latte - Caramel - 3.25, Regular Speciality Tea - Earl Grey - 1.30, Large Speciality Tea - Earl Grey - 1.60",6.15,CARD,8814665494898067
26/11/2023 11:00,Longridge,Larry Warfield,"Large Frappes - Strawberries & Cream - 3.25, Regular Frappes - Strawberries & Cream - 2.75, Large Frappes - Strawberries & Cream - 3.25, Regular Glass of milk - 0.70, Large Frappes - Strawberries & Cream - 3.25, Large Flavoured iced latte - Caramel - 3.25",16.45,CARD,5050168836344319
26/11/2023 11:08,Longridge,Neil Maxwell,"Regular Flavoured iced latte - Caramel - 2.75, Regular Frappes - Strawberries & Cream - 2.75, Regular Glass of milk - 0.70, Regular Frappes - Strawberries & Cream - 2.75",8.95,CASH,
26/11/2023 11:15,Longridge,Irene Rennemeyer,"Large Flavoured iced latte - Caramel - 3.25, Regular Glass of milk - 0.70, Regular Flavoured iced latte - Caramel - 2.75",6.7,CARD,5889343254622297
26/11/2023 11:23,Longridge,Pamela Parks,Large Speciality Tea - Earl Grey - 1.60,1.6,CASH,
26/11/2023 11:30,Longridge,Alex Levin,"Large Frappes - Strawberries & Cream - 3.25, Large Flavoured iced latte - Caramel - 3.25, Large Smoothies - Glowing Greens - 2.50, Regular Speciality Tea - Earl Grey - 1.30",10.3,CARD,5566667220292431
26/11/2023 11:38,Longridge,James Thomas,Large Speciality Tea - Earl Grey - 1.60,1.6,CARD,9325184387693553
26/11/2023 11:45,Longridge,Donnell Sienkiewicz,Large Flavoured iced latte - Caramel - 3.25,3.25,CASH,
26/11/2023 11:53,Longridge,Ethel Callahan,Large Smoothies - Glowing Greens - 2.50,2.5,CARD,5546512644300535
26/11/2023 12:00,Longridge,Margaret Wohlert,"Large Glass of milk - 1.10, Large Mocha - 2.70, Large Frappes - Strawberries & Cream - 3.25",7.05,CARD,6656441156638581
26/11/2023 12:06,Longridge,Vernetta Metzger,"Regular Glass of milk - 0.70, Large Frappes - Strawberries & Cream - 3.25",3.95,CARD,5332303650788238
26/11/2023 12:12,Longridge,Ruby Godwin,"Large Frappes - Strawberries & Cream - 3.25, Regular Smoothies - Glowing Greens - 2.00",5.25,CASH,
26/11/2023 12:18,Longridge,Mary Martin,"Large Mocha - 2.70, Large Smoothies - Glowing Greens - 2.50",5.2,CARD,7429051229305924
26/11/2023 12:24,Longridge,Patricia Bridge,"Large Speciality Tea - Earl Grey - 1.60, Large Smoothies - Glowing Greens - 2.50, Regular Frappes - Strawberries & Cream - 2.75, Regular Glass of milk - 0.70",7.55,CARD,8959764535038626
26/11/2023 12:30,Longridge,Mariana Whitlock,Large Frappes - Strawberries & Cream - 3.25,3.25,CARD,4379806663408531
26/11/2023 12:36,Longridge,Thomas Straugh,Large Speciality Tea - Earl Grey - 1.60,1.6,CARD,5162508435701591
26/11/2023 12:42,Longridge,Evelyn Davis,"Regular Speciality Tea - Earl Grey - 1.30, Regular Flavoured iced latte - Caramel - 2.75, Regular Smoothies - Glowing Greens - 2.00",6.05,CARD,9851181335397147
26/11/2023 12:48,Longridge,Katherine Zaragoza,"Large Glass of milk - 1.10, Large Glass of milk - 1.10, Regular Flavoured iced latte - Caramel - 2.75, Large Mocha - 2.70, Regular Flavoured iced latte - Caramel - 2.75, Large Glass of milk - 1.10",11.5,CARD,6670152092107052
26/11/2023 12:54,Longridge,Loren Johnson,"Large Smoothies - Glowing Greens - 2.50, Large Speciality Tea - Earl Grey - 1.60, Large Smoothies - Glowing Greens - 2.50",6.6,CARD,8155422057131336
26/11/2023 13:00,Longridge,Sherry Jones,"Large Frappes - Strawberries & Cream - 3.25, Large Smoothies - Glowing Greens - 2.50",5.75,CASH,
26/11/2023 13:01,Longridge,Richard Mouton,"Large Mocha - 2.70, Regular Smoothies - Glowing Greens - 2.00, Regular Mocha - 2.30",7,CASH,
26/11/2023 13:02,Longridge,Anthony Concepcion,"Regular Smoothies - Glowing Greens - 2.00, Regular Smoothies - Glowing Greens - 2.00, Regular Frappes - Strawberries & Cream - 2.75, Regular Frappes - Strawberries & Cream - 2.75",9.5,CASH,
26/11/2023 13:03,Longridge,Leon Young,"Regular Speciality Tea - Earl Grey - 1.30, Regular Glass of milk - 0.70",2,CASH,
26/11/2023 13:04,Longridge,Mary Powell,"Large Mocha - 2.70, Regular Glass of milk - 0.70, Regular Frappes - Strawberries & Cream - 2.75",6.15,CARD,7278848507906924
26/11/2023 13:05,Longridge,Steven Gravley,"Large Frappes - Strawberries & Cream - 3.25, Regular Mocha - 2.30, Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured iced latte - Caramel - 3.25, Large Flavoured iced latte - Caramel - 3.25",14.8,CARD,4617277311808808
26/11/2023 13:06,Longridge,Louise Mazor,"Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured iced latte - Caramel - 3.25, Regular Frappes - Strawberries & Cream - 2.75",8.75,CASH,
26/11/2023 13:07,Longridge,Leland Mccarthy,Regular Flavoured iced latte - Caramel - 2.75,2.75,CASH,
26/11/2023 13:08,Longridge,Philip Washington,"Large Speciality Tea - Earl Grey - 1.60, Regular Flavoured iced latte - Caramel - 2.75, Large Smoothies - Glowing Greens - 2.50",6.85,CASH,
26/11/2023 13:09,Longridge,Antoinette Rubin,"Large Mocha - 2.70, Regular Speciality Tea - Earl Grey - 1.30, Regular Frappes - Strawberries & Cream - 2.75",6.75,CARD,6216672460821736
26/11/2023 13:10,Longridge,Anthony Pierce,"Regular Flavoured iced latte - Caramel - 2.75, Large Smoothies - Glowing Greens - 2.50, Large Frappes - Strawberries & Cream - 3.25",8.5,CARD,9882848791420238
26/11/2023 13:10,Longridge,Stephen Noel,"Regular Smoothies - Glowing Greens - 2.00, Large Frappes - Strawberries & Cream - 3.25, Regular Smoothies - Glowing Greens - 2.00, Large Smoothies - Glowing Greens - 2.50, Large Smoothies - Glowing Greens - 2.50, Large Glass of milk - 1.10",13.35,CASH,
26/11/2023 13:11,Longridge,Sergio Mcdorman,"Regular Speciality Tea - Earl Grey - 1.30, Regular Smoothies - Glowing Greens - 2.00, Regular Speciality Tea - Earl Grey - 1.30",4.6,CARD,3840508495093203
26/11/2023 13:12,Longridge,Anthony Ford,"Regular Flavoured iced latte - Caramel - 2.75, Regular Speciality Tea - Earl Grey - 1.30, Regular Smoothies - Glowing Greens - 2.00, Regular Flavoured iced latte - Caramel - 2.75, Regular Mocha - 2.30",11.1,CARD,1311763348228409
26/11/2023 13:13,Longridge,Fernando Collins,"Regular Frappes - Strawberries & Cream - 2.75, Large Frappes - Strawberries & Cream - 3.25",6,CASH,
26/11/2023 13:14,Longridge,Matthew Irwin,Regular Frappes - Strawberries & Cream - 2.75,2.75,CARD,7270444332412810
26/11/2023 13:15,Longridge,Timothy Turner,"Large Flavoured iced latte - Caramel - 3.25, Large Frappes - Strawberries & Cream - 3.25, Regular Frappes - Strawberries & Cream - 2.75, Regular Speciality Tea - Earl Grey - 1.30, Large Frappes - Strawberries & Cream - 3.25, Regular Speciality Tea - Earl Grey - 1.30",15.1,CASH,
26/11/2023 13:16,Longridge,Jesus Tilton,"Large Glass of milk - 1.10, Large Glass of milk - 1.10",2.2,CASH,
26/11/2023 13:17,Longridge,Charles Medina,"Large Frappes - Strawberries & Cream - 3.25, Large Flavoured iced latte - Caramel - 3.25",6.5,CARD,1647493797516384
26/11/2023 13:18,Longridge,David Tillis,"Regular Smoothies - Glowing Greens - 2.00, Regular Smoothies - Glowing Greens - 2.00, Large Frappes - Strawberries & Cream - 3.25",7.25,CASH,
26/11/2023 13:19,Longridge,Paul Ramos,"Regular Frappes - Strawberries & Cream - 2.75, Large Mocha - 2.70, Large Smoothies - Glowing Greens - 2.50, Large Mocha - 2.70",10.65,CARD,6004485767275145
26/11/2023 13:20,Longridge,John Miller,"Large Speciality Tea - Earl Grey - 1.60, Large Speciality Tea - Earl Grey - 1.60",3.2,CARD,7482883363383921
26/11/2023 13:21,Longridge,Kim Sandler,Regular Frappes - Strawberries & Cream - 2.75,2.75,CARD,4964481403227166
26/11/2023 13:22,Longridge,Helen Brown,"Large Mocha - 2.70, Large Glass of milk - 1.10",3.8,CARD,8400644643839950
26/11/2023 13:23,Longridge,Chris Smith,"Regular Speciality Tea - Earl Grey - 1.30, Large Frappes - Strawberries & Cream - 3.25, Large Speciality Tea - Earl Grey - 1.60",6.15,CARD,4370168540705783
26/11/2023 13:24,Longridge,Jessica Williams,Regular Mocha - 2.30,2.3,CARD,5677276963200668
26/11/2023 13:25,Longridge,Willie Mccann,"Large Smoothies - Glowing Greens - 2.50, Large Smoothies - Glowing Greens - 2.50, Regular Glass of milk - 0.70",5.7,CARD,2388665884328665
26/11/2023 13:26,Longridge,Velma Smith,"Large Flavoured iced latte - Caramel - 3.25, Regular Glass of milk - 0.70, Large Glass of milk - 1.10",5.05,CARD,7309548194151244
26/11/2023 13:27,Longridge,Iris Redd,"Regular Frappes - Strawberries & Cream - 2.75, Regular Mocha - 2.30",5.05,CARD,2745867724476981
26/11/2023 13:28,Longridge,William Fiorentino,"Regular Smoothies - Glowing Greens - 2.00, Regular Glass of milk - 0.70",2.7,CARD,9621743204256535
26/11/2023 13:29,Longridge,Benjamin Horton,"Regular Flavoured iced latte - Caramel - 2.75, Large Frappes - Strawberries & Cream - 3.25, Large Glass of milk - 1.10, Large Glass of milk - 1.10",8.2,CASH,
26/11/2023 13:29,Longridge,Willie Anderson,"Regular Glass of milk - 0.70, Regular Frappes - Strawberries & Cream - 2.75, Large Mocha - 2.70, Large Frappes - Strawberries & Cream - 3.25, Regular Glass of milk - 0.70",10.1,CARD,4481909357102535
26/11/2023 13:30,Longridge,Velma Smith,Large Smoothies - Glowing Greens - 2.50,2.5,CARD,8784426327288025
26/11/2023 13:31,Longridge,John Vazquez,"Large Speciality Tea - Earl Grey - 1.60, Regular Mocha - 2.30, Regular Frappes - Strawberries & Cream - 2.75, Regular Speciality Tea - Earl Grey - 1.30",7.95,CARD,4553377356553433
26/11/2023 13:32,Longridge,Patricia Teran,"Large Mocha - 2.70, Regular Frappes - Strawberries & Cream - 2.75, Large Glass of milk - 1.10, Regular Frappes - Strawberries & Cream - 2.75, Large Glass of milk - 1.10",10.4,CARD,1663026891478815
26/11/2023 13:33,Longridge,Clayton Martin,"Regular Frappes - Strawberries & Cream - 2.75, Large Glass of milk - 1.10, Large Mocha - 2.70, Large Smoothies - Glowing Greens - 2.50",9.05,CARD,2693167256957167
26/11/2023 13:34,Longridge,Heather Coles,"Regular Frappes - Strawberries & Cream - 2.75, Regular Smoothies - Glowing Greens - 2.00, Large Frappes - Strawberries & Cream - 3.25",8,CARD,8826648786245877
26/11/2023 13:35,Longridge,Jose Deno,"Regular Mocha - 2.30, Large Frappes - Strawberries & Cream - 3.25",5.55,CARD,9043740736095174
26/11/2023 13:36,Longridge,Douglas Davis,"Large Mocha - 2.70, Large Smoothies - Glowing Greens - 2.50, Large Flavoured iced latte - Caramel - 3.25, Large Smoothies - Glowing Greens - 2.50",10.95,CARD,9896932376009033
26/11/2023 13:37,Longridge,Paul Lunsford,"Large Mocha - 2.70, Large Frappes - Strawberries & Cream - 3.25, Regular Frappes - Strawberries & Cream - 2.75, Large Frappes - Strawberries & Cream - 3.25",11.95,CASH,
26/11/2023 13:38,Longridge,Zenia Poole,"Regular Frappes - Strawberries & Cream - 2.75, Regular Smoothies - Glowing Greens - 2.00",4.75,CASH,
26/11/2023 13:39,Longridge,Gerald Gunter,"Regular Speciality Tea - Earl Grey - 1.30, Regular Speciality Tea - Earl Grey - 1.30",2.6,CASH,
26/11/2023 13:40,Longridge,Travis Jennings,Regular Frappes - Strawberries & Cream - 2.75,2.75,CARD,9523660219318383
26/11/2023 13:41,Longridge,Charles Hamm,"Regular Smoothies - Glowing Greens - 2.00, Large Mocha - 2.70",4.7,CASH,
26/11/2023 13:42,Longridge,Marvin Skinner,"Regular Frappes - Strawberries & Cream - 2.75, Large Glass of milk - 1.10",3.85,CARD,3142257145627499
26/11/2023 13:43,Longridge,Gloria Peloquin,Regular Frappes - Strawberries & Cream - 2.75,2.75,CASH,
26/11/2023 13:44,Longridge,Pamela Greiner,"Large Speciality Tea - Earl Grey - 1.60, Large Speciality Tea - Earl Grey - 1.60, Regular Frappes - Strawberries & Cream - 2.75",5.95,CARD,9559273595496310
26/11/2023 13:45,Longridge,Laura Seibert,Regular Mocha - 2.30,2.3,CARD,1803446644114852
26/11/2023 13:46,Longridge,Paul Woosley,"Large Frappes - Strawberries & Cream - 3.25, Large Frappes - Strawberries & Cream - 3.25",6.5,CARD,6527609879089393
26/11/2023 13:47,Longridge,Cesar Patrick,"Regular Glass of milk - 0.70, Large Smoothies - Glowing Greens - 2.50",3.2,CARD,8297568377697107
